Sehir,Marka,Seri,Model,Yil,Yakit,Km,Hp,Cc,Fiyat,Sehirici,Sehirdisi,Ortalama,Bagaj
Tekirdag,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2020,Benzin,3000,90,898,152500,5.7,4.7,5.1,320.0
Kocaeli,Hyundai ,1.6 CRDI Mode Plus ,Accent Blue ,2018,Dizel,48000,136,1582,152500,5.7,4.0,4.6,465.0
Mugla,Nissan ,1.2 Match ,Micra ,2016,Benzin,40000,80,1198,152500,6.7,4.6,5.4,265.0
Eskisehir,Nissan ,1.2 Match ,Micra ,2017,Benzin,35000,80,1198,152250,6.7,4.6,5.4,265.0
Istanbul,Renault ,1.2 Turbo Icon ,Clio ,2015,Benzin,37800,120,1197,152500,6.6,4.4,5.2,300.0
Istanbul,Nissan ,1.2 Street ,Micra ,2017,Benzin,36000,80,1198,152500,6.7,4.6,5.4,265.0
Kocaeli,Citroen ,1.6 VTi Feel ,C3 ,2018,Benzin,18800,115,1587,152500,9.2,5.3,6.8,300.0
Istanbul,Skoda ,1.0 GreenTec Style ,Fabia ,2017,Benzin,19000,110,999,152500,5.4,4.1,4.6,305.0
Edirne,Peugeot ,Active  ,208 1.2 PureTech ,2018,Benzin,41250,82,1199,152500,4.6,3.9,4.2,285.0
Adana,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2020,Benzin,0,90,898,152250,5.7,4.7,5.1,320.0
Hatay,Fiat ,1.6 Multijet Easy  ,Egea ,2019,Dizel,24000,120,1598,152250,4.5,3.5,3.9,520.0
Kirikkale,Dacia ,1.5 dCi Stepway ,Sandero ,2016,Dizel,50000,90,1461,152250,3.9,3.8,3.8,320.0
Izmir,Opel ,1.4 Enjoy ,Corsa ,2019,Benzin,46750,90,1398,159900,7.8,4.9,6.0,285.0
Istanbul,Opel ,1.4 Enjoy ,Corsa ,2019,Benzin,42600,90,1398,159900,7.8,4.9,6.0,285.0
Istanbul,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2020,Benzin,4600,90,898,153000,5.7,4.7,5.1,320.0
